metric,no trend,increasing,decreasing
AM,29,42,23
BL,27,46,21
BWR,37,30,27
CBO,34,40,20
CC,25,19,50
CCM,25,19,50
CCR,32,22,40
CCS,25,19,50
CLASSES,25,61,8
CLOC,33,36,25
DIT,47,17,30
DLOC,27,45,22
DSTMT,30,38,26
EC,22,17,55
ELOC,29,45,20
ESTMT,26,40,28
FANIN,25,21,48
FANOUT,28,24,42
JAVA,33,53,8
KNTS,37,23,34
LCOM,27,31,36
LM,31,37,26
LOC,30,46,18
NIV,33,36,25
NOC,74,13,7
NPATH,23,21,50
NPLOG,40,17,37
NPM,37,35,22
NPRM,33,26,35
NV,42,33,19
PKG,46,42,6
PL,24,45,25
PM,47,25,22
RFC,29,42,23
SAR,27,21,46
STMT,24,43,27
WMC,28,44,22
