framework,project,java,properties,jar,build.gradle,pom.xml,manifest.xml,xml,bat,md,adoc,README,yaml,txt,sh,travis.yml,yml,cmd,kt,json,numberOfFiles,others
spring,spring-guides/tut-rest,38,1,1,0,5,0,5,0,0,1,1,0,2,0,1,1,1,0,0,52,2
spring,spring-guides/gs-vault-config,3,5,4,2,2,0,2,2,0,2,1,0,2,1,1,1,2,0,0,32,6
spring,spring-guides/gs-spring-boot,6,4,4,2,2,0,2,2,0,2,1,0,2,1,1,2,2,0,0,37,8
spring,spring-guides/gs-rest-service,6,5,4,2,2,0,2,2,0,2,1,0,2,1,1,3,2,0,0,39,8
spring,spring-guides/gs-spring-boot-docker,5,4,4,2,2,0,2,2,0,2,1,0,2,1,1,2,2,0,0,35,7
spring,spring-guides/gs-scheduling-tasks,6,5,4,2,2,0,2,2,0,2,1,0,2,1,1,1,2,0,0,37,8
spring,spring-guides/gs-maven,5,2,2,0,2,0,2,0,0,2,1,0,3,1,1,1,2,0,0,23,3
spring,spring-guides/gs-crud-with-vaadin,12,4,4,2,2,0,2,2,0,2,1,0,2,1,1,1,2,0,0,42,8
spring,spring-guides/gs-uploading-files,16,6,4,2,2,0,2,2,0,2,1,0,3,1,1,1,2,0,0,50,9
spring,spring-guides/gs-testing-web,11,5,4,2,2,0,2,2,0,2,1,0,2,1,1,1,2,0,0,42,8
spring,spring-guides/gs-serving-web-content,5,5,4,2,2,0,2,2,0,2,1,0,2,1,1,1,2,0,0,38,10
spring,spring-guides/gs-service-registration-and-discovery,8,8,4,4,6,0,6,2,0,2,1,0,2,1,1,1,2,0,0,53,13
spring,spring-guides/gs-securing-web,6,4,4,2,2,0,2,2,0,2,1,0,2,1,1,1,2,0,0,45,17
spring,spring-guides/gs-rest-service-cors,6,5,4,2,2,0,2,2,0,2,1,0,2,1,1,2,2,0,2,44,12
spring,spring-guides/gs-relational-data-access,3,4,4,2,2,0,2,2,0,2,1,0,2,1,1,1,2,0,0,33,8
spring,spring-guides/gs-producing-web-service,7,6,4,2,2,0,3,2,0,2,1,0,2,1,1,1,2,0,0,42,10
spring,spring-guides/gs-multi-module,9,7,4,5,6,0,6,2,0,2,1,0,2,1,1,1,2,0,0,52,11
spring,spring-guides/gs-messaging-stomp-websocket,7,4,4,2,2,0,2,2,0,2,1,0,0,1,1,1,2,0,0,41,14
spring,spring-guides/gs-messaging-rabbitmq,5,5,4,2,2,0,2,2,0,2,1,0,2,1,1,2,2,0,0,37,8
spring,spring-guides/gs-messaging-jms,3,4,4,2,2,0,2,2,0,2,1,0,2,1,1,1,2,0,0,31,6
spring,spring-guides/gs-gradle,5,1,1,2,0,0,0,1,0,2,1,0,2,1,1,1,0,0,1,20,3
spring,spring-guides/gs-consuming-web-service,5,5,4,2,2,0,2,2,0,2,1,0,2,1,1,2,2,0,1,39,9
spring,spring-guides/gs-consuming-rest,6,5,4,2,2,0,2,2,0,2,1,0,2,1,1,1,2,0,0,37,8
spring,spring-guides/gs-client-side-load-balancing,5,4,4,4,6,0,6,2,0,2,1,0,2,1,1,3,2,0,0,42,7
spring,spring-guides/gs-centralized-configuration,8,9,4,4,6,0,6,2,0,2,1,0,2,1,1,1,2,0,0,54,13
spring,spring-guides/gs-authenticating-ldap,6,5,4,2,2,0,2,2,2,2,3,0,2,1,1,1,2,0,0,42,11
spring,spring-guides/gs-accessing-mongodb-data-rest,6,5,4,2,2,0,2,2,0,2,1,0,2,1,1,1,2,0,0,37,8
spring,spring-guides/gs-accessing-data-rest,6,5,4,2,2,0,2,2,0,2,1,0,2,1,1,2,2,0,0,38,8
spring,spring-guides/gs-accessing-data-mysql,6,6,4,2,2,0,2,2,0,2,1,0,2,1,1,2,2,0,0,39,8
spring,spring-guides/gs-accessing-data-jpa,6,5,4,2,2,0,2,2,0,2,1,0,2,1,1,1,2,0,0,37,8
spring,spring-guides/getting-started-guides,9,10,8,6,6,0,6,2,0,2,1,0,2,1,1,1,2,0,0,55,6
spring,spring-guides/gs-accessing-data-gemfire,3,5,4,2,2,0,2,2,0,2,1,0,2,1,1,1,2,0,0,33,7
spring,spring-guides/gs-validating-form-input,6,5,4,2,2,0,2,2,0,2,1,0,2,1,1,1,2,0,0,44,15
spring,spring-guides/gs-testing-restdocs,6,5,4,2,2,0,2,2,0,3,1,0,2,1,1,1,2,0,0,38,8
spring,spring-guides/gs-spring-boot-for-azure,3,4,4,2,2,0,2,2,0,2,1,0,2,1,1,1,2,0,0,33,8
spring,spring-guides/gs-rest-hateoas,7,5,4,2,2,0,2,2,0,2,1,0,2,1,1,1,2,0,0,38,8
spring,spring-guides/gs-reactive-rest-service,5,4,4,2,2,0,2,2,0,2,1,0,2,1,1,2,2,0,0,35,7
spring,spring-guides/gs-messaging-redis,3,6,4,2,2,0,2,2,0,2,1,0,2,1,1,1,2,0,0,36,9
spring,spring-guides/gs-messaging-gcp-pubsub,2,5,4,2,2,0,2,2,0,2,1,0,2,1,1,1,2,0,0,32,7
spring,spring-guides/gs-managing-transactions,5,5,4,2,2,0,2,2,0,2,1,0,2,1,1,1,2,0,0,35,7
spring,spring-guides/gs-integration,4,5,4,2,2,0,4,2,0,2,1,0,2,1,1,1,2,0,0,38,9
spring,spring-guides/gs-handling-form-submission,6,5,4,2,2,0,2,2,0,2,1,0,2,1,1,2,2,0,0,42,12
spring,spring-guides/gs-gateway,3,4,4,2,2,0,2,2,0,2,1,0,2,1,1,2,2,0,0,31,5
spring,spring-guides/gs-contract-rest,18,13,9,4,7,0,7,6,0,2,1,0,2,1,1,1,3,0,0,83,17
spring,spring-guides/gs-circuit-breaker,10,12,8,4,6,0,6,2,0,2,1,0,2,1,1,1,2,0,0,59,9
spring,spring-guides/gs-caching-gemfire,4,4,4,2,2,0,2,2,0,2,1,0,2,1,1,1,2,0,0,32,6
spring,spring-guides/gs-caching,10,4,4,2,2,0,2,2,0,2,1,0,2,1,1,1,2,0,0,40,8
spring,spring-guides/gs-batch-processing,6,4,4,2,2,0,2,2,0,2,1,0,2,1,1,1,2,0,0,40,12
spring,spring-guides/gs-async-method,6,5,4,2,2,0,2,2,0,2,1,0,2,1,1,1,2,0,0,37,8
spring,spring-guides/gs-actuator-service,6,6,4,2,2,0,2,2,0,2,1,0,2,1,1,2,2,0,0,41,10
spring,spring-guides/gs-accessing-vault,2,5,4,2,2,0,2,2,0,2,1,0,2,1,1,1,2,0,0,31,6
spring,spring-guides/gs-accessing-neo4j-data-rest,6,6,4,2,2,0,2,2,0,2,1,0,2,1,1,1,2,0,0,39,9
spring,spring-guides/gs-accessing-gemfire-data-rest,4,4,4,2,2,0,2,2,0,2,1,0,2,1,1,1,2,0,0,32,6
spring,spring-guides/gs-accessing-data-neo4j,5,6,4,2,2,0,2,2,0,2,1,0,2,1,1,1,2,0,0,38,9
spring,spring-guides/gs-accessing-data-mongodb,6,5,4,2,2,0,2,2,0,2,1,0,2,1,1,1,2,0,0,39,10
spring,spring-guides/tut-spring-boot-oauth2,10,1,1,0,6,0,6,0,0,8,6,0,2,0,1,6,1,0,0,44,9
spring,spring-guides/quoters,6,2,1,0,1,0,1,0,0,2,1,0,0,0,0,1,1,0,0,18,4
